,week,count
695,2023-04-24/2023-04-30,276
696,2023-05-01/2023-05-07,267
697,2023-05-08/2023-05-14,270
698,2023-05-15/2023-05-21,264
699,2023-05-22/2023-05-28,318
700,2023-05-29/2023-06-04,234
701,2023-06-05/2023-06-11,312
702,2023-06-12/2023-06-18,466
703,2023-06-19/2023-06-25,337
704,2023-06-26/2023-07-02,461
705,2023-07-03/2023-07-09,305
706,2023-07-10/2023-07-16,286
707,2023-07-17/2023-07-23,254
708,2023-07-24/2023-07-30,270
709,2023-07-31/2023-08-06,267
710,2023-08-07/2023-08-13,248
711,2023-08-14/2023-08-20,214
712,2023-08-21/2023-08-27,230
713,2023-08-28/2023-09-03,251
714,2023-09-04/2023-09-10,161
715,2023-09-11/2023-09-17,237
716,2023-09-18/2023-09-24,210
717,2023-09-25/2023-10-01,184
718,2023-10-02/2023-10-08,231
719,2023-10-09/2023-10-15,180
720,2023-10-16/2023-10-22,203
721,2023-10-23/2023-10-29,176
722,2023-10-30/2023-11-05,200
723,2023-11-06/2023-11-12,150
724,2023-11-13/2023-11-19,172
725,2023-11-20/2023-11-26,178
726,2023-11-27/2023-12-03,400
727,2023-12-04/2023-12-10,407
728,2023-12-11/2023-12-17,324
729,2023-12-18/2023-12-24,334
730,2023-12-25/2023-12-31,207
731,2024-01-01/2024-01-07,255
732,2024-01-08/2024-01-14,306
733,2024-01-15/2024-01-21,272
734,2024-01-22/2024-01-28,322
735,2024-01-29/2024-02-04,418
736,2024-02-05/2024-02-11,442
737,2024-02-12/2024-02-18,368
738,2024-02-19/2024-02-25,347
739,2024-02-26/2024-03-03,511
740,2024-03-04/2024-03-10,485
741,2024-03-11/2024-03-17,592
742,2024-03-18/2024-03-24,436
743,2024-03-25/2024-03-31,446
744,2024-04-01/2024-04-07,455
745,2024-04-08/2024-04-14,425
746,2024-04-15/2024-04-21,455
747,2024-04-22/2024-04-28,364
748,2024-04-29/2024-05-05,367
749,2024-05-06/2024-05-12,371
750,2024-05-13/2024-05-19,371
751,2024-05-20/2024-05-26,313
752,2024-05-27/2024-06-02,273
753,2024-06-03/2024-06-09,386
754,2024-06-10/2024-06-16,394
755,2024-06-17/2024-06-23,253
756,2024-06-24/2024-06-30,328
757,2024-07-01/2024-07-07,271
758,2024-07-08/2024-07-14,258
759,2024-07-15/2024-07-21,236
760,2024-07-22/2024-07-28,241
761,2024-07-29/2024-08-04,233
762,2024-08-05/2024-08-11,176
763,2024-08-12/2024-08-18,237
764,2024-08-19/2024-08-25,191
765,2024-08-26/2024-09-01,209
766,2024-09-02/2024-09-08,221
